Card ID,Card Added,Word,Word Declensions,Part of Speech,Context,Definition,Lurnt,Session #1 - 01.01.2021 12:00,Session #2 - 02.01.2021 12:00,Session #3 - 03.01.2021 12:00,Session #4 - 04.01.2021 12:00,Session #5 -05.01.2021 12:00
161,15.01.2021 14:00,pecuniary,,adj.,…a pecuniary loss.|…a pecuniary offense.,of or relating to money; requiring payment of money,,pass,pass,pass,,
162,15.01.2021 14:00,contrariety,,n.,What a contrariety of emotion they excited!,the quality or condition of being contrary; something that is contrary,,pass,pass,pass,,
163,15.01.2021 14:00,steadfast,,adj.,…my steadfast rule to not repeat myself.|…steadfast boulders in the stream.,firmly loyal or constant; unswerving; fixed or unchanging,,pass,pass,pass,,
164,15.01.2021 14:00,conciliate,conciliated,v.,They conciliated their angriest competitor.,to overcome the distrust or animosity of; to appease; to regain or try to regain (friendship or goodwill) by pleasant behaviour,,pass,pass,pass,,
165,15.01.2021 14:00,deign,,v.,He wouldn't deign to greet the servant who opened the door.,to do something that one considers beneath one's dignity; to condescend; to stoop,,pass,pass,pass,,
166,15.01.2021 14:00,paling,,n.,She approached the paling at the edge of the park.,one of a row of upright pointed sticks forming a fence; a pale; a fence made of pales,,pass,pass,pass,,
167,15.01.2021 14:00,environs,,n.,From the hill we had a fine view of the village and its environs.,"a surrounding area, especially of a city; environment",,pass,pass,pass,,fail
168,15.01.2021 14:00,tackle,,n.,He kept the tackle in the trunk.,"the equipment used in a particular activity, especially in fishing; gear",,pass,pass,pass,,fail
169,15.01.2021 14:00,coppice - copse,copse,n.,He hid in the copse until daybreak.,"a thicket of small trees or bushes; a small wood, especially one maintained by periodic cutting or pruning to encourage suckering",,pass,pass,pass,,fail
170,15.01.2021 14:00,glen,,n.,She had a hard time crossing the glen.,"a small, secluded, narrow valley (in the mountains)",,pass,,,,-
171,15.01.2021 14:00,consign,consigned,v.,He consigned the papers to the flames.|He was consigned to jail.,"to give over to the care or custody of another; to put in or assign to an unfortunate place, position, or condition; to commit irrevocably",,pass,,,,fail
172,15.01.2021 14:00,untinctured,,adj.,"…perfectly allowable, when untinctured by ill-humour or roughness.",not tinctured; not coloured or dyed; unaffected; untouched; untinged,,pass,,,,fail
173,15.01.2021 14:00,gaudy,,adj.,She wore a gaudy orange-and-purple hat.,showy in a tasteless or vulgar way; garish; flashy; loud,,fail,,,,fail
174,15.01.2021 14:00,petulant,,adj.,He whined like a petulant child.,unreasonably irritable or ill-tempered; peevish; contemptuous in speech or behaviour,,fail,,,fail,fail
175,15.01.2021 14:00,tincture,,n.,Her courtesy carried a tincture of disdain.|…a tincture of iodine.,a colouring or dyeing substance; a pigment; a trace or vestige; a hint; an alcohol solution of a nonvolatile medicine,,fail,,pass,fail,-
176,15.01.2021 14:00,progeny,,n.,He claimed to be the progeny of the king.,the organism or organisms resulting from sexual or asexual reproduction; a child or children of a parent,,-,fail,pass,fail,
177,15.01.2021 14:00,curricle,,n.,She pulled up in her curricle.,"a light, open, two-wheeled carriage, drawn by two horses abreast",,fail,fail,pass,-,
178,15.01.2021 14:00,mutable,,adj.,…mutable weather patterns.|…a mutable organism.,capable or subject to change or alteration; prone to frequent change; inconstant; tending to undergo genetic mutation,,fail,fail,fail,fail,
179,15.01.2021 14:00,insipid,,adj.,…insipid soup.|She had an insipid personality.,"lacking flavour or zest; not tasty; lacking qualities that excite, stimulate, or interest; dull",,fail,-,fail,fail,
180,15.01.2021 14:00,intrepid,,adj.,…an intrepid explorer.,resolutely courageous; fearless; brave; dauntless,,fail,fail,fail,fail,
181,15.01.2021 14:00,epithet,epithets,n.,She shouted a stream of obscene epithets.|They fit their manager's epithet of 'headless chickens'.,a term used to characterize a person or thing as a descriptive substitute; a disparaging or abusive word or phrase; moniker,,-,fail,-,fail,
182,15.01.2021 14:00,hackney,,n.,The boy was run over by a hackney carriage.,"a horse of a breed developed in England, having a gait characterized by pronounced flexion of the knee; a trottinghorse suited for routine riding or driving",,fail,fail,fail,-,
183,15.01.2021 14:00,gantry,,n.,The train passed under the gantry.,"a structure spanning a railway or highway, as to support signs, scanners for the collection of tolls or signals; a structure supporting or containing something",,fail,fail,fail,,
184,15.01.2021 14:00,chaise,,n.,He sent her a chaise.,"any of various light open carriages, often with a collapsible hood, especially a two-wheeled carriage drawn by one horse",,fail,-,fail,,
185,15.01.2021 14:00,nuptial,,adj.,…the nuptial plumage of male birds.|…a nuptial ceremony.,"of or relating to marriage or the wedding ceremony; of, relating to, or occurring during the mating season",,fail,,fail,,
186,15.01.2021 14:00,licentious,,adj.,…her licentious behaviour.,"lacking moral restraint, especially in sexual conduct; promiscuous; going beyond customary or proper bounds or limits",,,,-,,
187,15.01.2021 14:00,nettled,,adj.,He was nettled by her casual manner.,aroused to impatience or anger; displeased,,,,fail,pass,
188,15.01.2021 14:00,connubial,,adj.,…connubial bliss.,relating to marriage or the married state; conjugal,,,,fail,pass,
189,15.01.2021 14:00,muslin,,n.,She was in her muslin robe when he arrived.,"a fine plain-weave cotton fabric, used especially for sheets",,,,fail,pass,
190,15.01.2021 14:00,postilion,,n.,The postilion came to the carriage door to ask if I had further need of his services.,"someone who rides the near horse of a pair in order to guide the horses pulling a carriage, especially one without a coachman",,,,fail,fail,
191,15.01.2021 14:00,dilatory,,adj.,…dilatory in his work habits.|She did not approve of the dilatory tactics used in the legislature.,causing or intended to cause delay; characterized by or given by delay or slowness,,,,,fail,
192,15.01.2021 14:00,virulent,,adj.,He was a virulent bigot.,causing the rapid onset of severe illness; extremely hostile or malicious,,,,,fail,
193,15.01.2021 14:00,cogent,,adj.,…a cogent argument.|His answer was equally clear and cogent.,appealing to the intellect or powers of reasoning; convincing; compelling belief or assent; persuasive,,fail,,,-,
194,15.01.2021 14:00,incorrigible,,adj.,He was an incorrigible criminal.|…incorrigible faults.,incapable of being corrected or reformed; firmly rooted; ineradicable; difficult or impossible to control or manage,,fail,,,fail,
195,15.01.2021 14:00,kindred,,adj.,The offender made proper restitution to the victim's kindred.|I recall discussions with her on these and kindred topics.,"of the same ancestry or family; having a similar or related origin, nature, or character",,fail,,,fail,
196,15.01.2021 14:00,mirth,,n.,Her joke caused considerable mirth amongst the pupils.,"gladness and merriment, especially when expressed by laughter; a state of joyful exuberance",,-,,,fail,
197,15.01.2021 14:00,invective,invectives,n.,They shouted invectives at the umpire.,denunciatory or abusive language; vituperation,,fail,,,fail,
198,15.01.2021 14:00,caper,capering,n.,"The children were capering about, shouting and laughing.","a playful leap or hop; a frivolous escapade or prank; [slang] an illegal plot or enterprise, especially one involving theft",,fail,,,-,
199,15.01.2021 14:00,shrewish,,adj.,His wife was a shrewish character.,ill-tempered; nagging (especially of a woman),,fail,,,fail,
200,15.01.2021 14:00,slovenly,,adj.,It was a slovenly legal defence.|He was clad in a rather slovenly fashion.,"untidy, as in dress or appearance; marked by negligence; careless or slipshod",,fail,,,fail,
